6
 num     #instances         #bytes  class name
 328:            10            400  com.intellij.util.io.IntToIntBtree$BtreeIndexNodeView
 329:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 330:            25            400  org.jetbrains.jps.model.JpsElementChildRole
 331:             4            384  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 332:             8            384  com.intellij.util.io.PersistentHashMap$4
 333:            24            384  com.sun.org.apache.xerces.internal.util.AugmentationsImpl
 334:             6            384  java.lang.invoke.InvokerBytecodeGenerator
 335:             1            384  java.lang.ref.Finalizer$FinalizerThread
 336:             1            384  java.util.logging.LogManager$Cleaner
 337:             8            384  java.util.logging.LogManager$LoggerWeakRef
 338:            16            384  sun.nio.ch.OptionKey
 339:            16            384  sun.nio.ch.SocketOptionRegistry$RegistryKey
 340:            12            384  sun.reflect.annotation.AnnotationType
 341:             1            376  java.lang.ref.Reference$ReferenceHandler
 342:            23            368  com.sun.proxy.$Proxy8
 343:             7            360  [Ljava.beans.PropertyDescriptor;
 344:            15            360  com.intellij.util.containers.ImmutableList$Itr
 345:             9            360  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit
 346:            15            360  org.jetbrains.jps.model.java.LanguageLevel
 347:             9            360  sun.misc.URLClassPath$1
 348:            11            352  com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl
 349:            11            352  org.apache.log4j.helpers.PatternParser$LiteralPatternConverter
 350:            11            352  org.jetbrains.jps.incremental.storage.BuildTargetConfiguration
 351:            21            336  [Ljava.nio.file.attribute.FileAttribute;
 352:             7            336  java.beans.BeanDescriptor
 353:             7            336  java.io.BufferedReader
 354:            21            336  java.lang.invoke.LambdaFormEditor
 355:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 356:             6            336  java.nio.DirectLongBufferU
 357:             7            336  java.util.Properties
 358:            14            336  java.util.concurrent.atomic.AtomicLong
 359:             3            336  sun.nio.ch.SocketChannelImpl
 360:            21            336  sun.reflect.DelegatingMethodAccessorImpl
 361:             6            336  sun.util.calendar.ZoneInfo
 362:             4            328  [D
 363:             8            320  [Lcom.intellij.util.xmlb.NestedBinding;
 364:            10            320  java.lang.OutOfMemoryError
 365:            10            320  sun.security.jca.ProviderConfig
 366:            13            312  java.lang.invoke.Invokers
 367:            13            312  org.apache.log4j.Level
 368:            13            312  sun.reflect.generics.tree.ClassSignature
 369:            15            304  [Lsun.reflect.generics.tree.FormalTypeParameter;
 370:            19            304  org.jdom.filter.AbstractFilter$1
 371:             9            288  com.intellij.util.containers.LimitedPool
 372:             3            288  com.sun.xml.internal.stream.Entity$ScannedEntity
 373:            12            288  java.lang.RuntimePermission
 374:             9            288  java.util.Stack
 375:             9            288  java.util.logging.Level
 376:             9            288  java.util.logging.LogManager$LogNode
 377:             4            288  org.apache.log4j.spi.LoggingEvent
 378:             9            288  org.jdom.AttributeList$ALIterator
 379:             9            288  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 380:             6            288  sun.security.util.ManifestEntryVerifier
 381:             7            280  [Ljava.util.stream.StreamOpFlag$Type;
 382:             7            280  [Ljava.util.stream.StreamOpFlag;
